frame_idx,difficulty_reason,image_name,image_path,timestamp_iso,sat_x_km,sat_y_km,sat_z_km,quat_w,quat_x,quat_y,quat_z,cam_lens_mm,cam_type,cam_sensor_width_mm,cam_sensor_height_mm
45,lowlight,0045.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0045.png,2025-01-01T00:14:50.602410,33.656651,40.150322,1747.783936,0.856715,0.268415,-0.378754,0.224807,50.00,PERSP,36.00,24.00
46,lowlight,0046.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0046.png,2025-01-01T00:15:10.843373,34.172577,39.717987,1747.780151,0.858101,0.265984,-0.380528,0.219347,50.00,PERSP,36.00,24.00
47,lowlight,0047.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0047.png,2025-01-01T00:15:31.084337,34.686794,39.273735,1747.776855,0.859476,0.263517,-0.382288,0.213812,50.00,PERSP,36.00,24.00
48,lowlight,0048.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0048.png,2025-01-01T00:15:51.325301,35.190655,38.815910,1747.770264,0.860898,0.261020,-0.383915,0.208166,50.00,PERSP,36.00,24.00
49,lowlight,0049.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0049.png,2025-01-01T00:16:11.566265,35.703362,38.349777,1747.765625,0.862220,0.258480,-0.385688,0.202509,50.00,PERSP,36.00,24.00
50,lowlight,0050.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0050.png,2025-01-01T00:16:31.807229,36.210743,37.872253,1747.759399,0.863534,0.255909,-0.387422,0.196784,50.00,PERSP,36.00,24.00
51,backlit,0051.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0051.png,2025-01-01T00:16:52.048193,36.717079,37.384430,1747.756348,0.864826,0.253309,-0.389139,0.191004,50.00,PERSP,36.00,24.00
52,backlit,0052.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0052.png,2025-01-01T00:17:12.289157,37.214520,36.885448,1747.753296,0.866116,0.250685,-0.390791,0.185155,50.00,PERSP,36.00,24.00
53,backlit,0053.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0053.png,2025-01-01T00:17:32.530120,37.704563,36.376740,1747.752319,0.867383,0.248037,-0.392416,0.179258,50.00,PERSP,36.00,24.00
54,backlit,0054.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0054.png,2025-01-01T00:17:52.771084,38.200623,35.860550,1747.752319,0.868559,0.245354,-0.394145,0.173367,50.00,PERSP,36.00,24.00
55,backlit,0055.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0055.png,2025-01-01T00:18:13.012048,38.689358,35.335442,1747.751465,0.869715,0.242653,-0.395830,0.167433,50.00,PERSP,36.00,24.00
56,backlit,0056.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0056.png,2025-01-01T00:18:33.253012,39.171509,34.801807,1747.752808,0.870835,0.239932,-0.397498,0.161473,50.00,PERSP,36.00,24.00
57,backlit,0057.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0057.png,2025-01-01T00:18:53.493976,39.634972,34.259010,1747.753540,0.871989,0.237212,-0.399004,0.155437,50.00,PERSP,36.00,24.00
58,backlit,0058.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0058.png,2025-01-01T00:19:13.734940,40.119209,33.712906,1747.755615,0.872930,0.234435,-0.400846,0.149522,50.00,PERSP,36.00,24.00
59,backlit,0059.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0059.png,2025-01-01T00:19:33.975904,40.574017,33.157257,1747.755737,0.873968,0.231682,-0.402385,0.143490,50.00,PERSP,36.00,24.00
60,backlit,0060.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0060.png,2025-01-01T00:19:54.216867,41.028790,32.596733,1747.758301,0.874917,0.228906,-0.404002,0.137494,50.00,PERSP,36.00,24.00
61,backlit,0061.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0061.png,2025-01-01T00:20:14.457831,41.471439,32.030586,1747.758423,0.875845,0.226130,-0.405552,0.131483,50.00,PERSP,36.00,24.00
62,backlit,0062.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0062.png,2025-01-01T00:20:34.698795,41.905014,31.459837,1747.760742,0.876733,0.223352,-0.407073,0.125479,50.00,PERSP,36.00,24.00
63,backlit,0063.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0063.png,2025-01-01T00:20:54.939759,42.328320,30.885170,1747.762573,0.877575,0.220573,-0.408573,0.119490,50.00,PERSP,36.00,24.00
64,backlit,0064.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0064.png,2025-01-01T00:21:15.180723,42.743317,30.307489,1747.763184,0.878378,0.217797,-0.410038,0.113518,50.00,PERSP,36.00,24.00
65,backlit,0065.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0065.png,2025-01-01T00:21:35.421687,43.143494,29.726948,1747.766846,0.879151,0.215031,-0.411445,0.107558,50.00,PERSP,36.00,24.00
66,backlit,0066.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0066.png,2025-01-01T00:21:55.662651,43.542564,29.145018,1747.765869,0.879827,0.212254,-0.412933,0.101675,50.00,PERSP,36.00,24.00
67,backlit,0067.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0067.png,2025-01-01T00:22:15.903614,43.928745,28.561760,1747.766846,0.880482,0.209494,-0.414348,0.095810,50.00,PERSP,36.00,24.00
68,backlit,0068.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0068.png,2025-01-01T00:22:36.144578,44.289215,27.978239,1747.767212,0.881173,0.206781,-0.415561,0.089915,50.00,PERSP,36.00,24.00
69,backlit,0069.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0069.png,2025-01-01T00:22:56.385542,44.665417,27.394695,1747.770386,0.881671,0.204020,-0.417064,0.084201,50.00,PERSP,36.00,24.00
70,backlit,0070.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0070.png,2025-01-01T00:23:16.626506,45.022381,26.812340,1747.768311,0.882172,0.201295,-0.418439,0.078499,50.00,PERSP,36.00,24.00
71,backlit,0071.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0071.png,2025-01-01T00:23:36.867470,45.355385,26.231714,1747.769897,0.882697,0.198621,-0.419639,0.072793,50.00,PERSP,36.00,24.00
72,backlit,0072.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0072.png,2025-01-01T00:23:57.108434,45.682961,25.653511,1747.771362,0.883157,0.195958,-0.420859,0.067170,50.00,PERSP,36.00,24.00
73,backlit,0073.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0073.png,2025-01-01T00:24:17.349398,46.003937,25.078251,1747.771362,0.883544,0.193305,-0.422117,0.061643,50.00,PERSP,36.00,24.00
74,backlit,0074.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0074.png,2025-01-01T00:24:37.590361,46.310814,24.506409,1747.772461,0.883910,0.190688,-0.423304,0.056170,50.00,PERSP,36.00,24.00
75,backlit,0075.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0075.png,2025-01-01T00:24:57.831325,46.605732,23.939312,1747.773071,0.884242,0.188103,-0.424449,0.050767,50.00,PERSP,36.00,24.00
76,backlit,0076.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0076.png,2025-01-01T00:25:18.072289,46.897354,23.376108,1747.776733,0.884494,0.185526,-0.425654,0.045484,50.00,PERSP,36.00,24.00
77,backlit,0077.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0077.png,2025-01-01T00:25:38.313253,47.172211,22.818647,1747.780518,0.884735,0.182995,-0.426775,0.040259,50.00,PERSP,36.00,24.00
78,backlit,0078.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0078.png,2025-01-01T00:25:58.554217,47.430054,22.268688,1747.803223,0.884982,0.180524,-0.427770,0.035078,50.00,PERSP,36.00,24.00
79,backlit,0079.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0079.png,2025-01-01T00:26:18.795181,47.686073,21.723902,1747.831909,0.885148,0.178062,-0.428841,0.030033,50.00,PERSP,36.00,24.00
80,backlit,0080.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0080.png,2025-01-01T00:26:39.036145,47.924786,21.187422,1747.862671,0.885312,0.175657,-0.429813,0.025051,50.00,PERSP,36.00,24.00
81,backlit,0081.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0081.png,2025-01-01T00:26:59.277108,48.155361,20.657730,1747.896729,0.885438,0.173287,-0.430772,0.020170,50.00,PERSP,36.00,24.00
82,backlit,0082.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0082.png,2025-01-01T00:27:19.518072,48.376369,20.136536,1747.932617,0.885526,0.170955,-0.431718,0.015396,50.00,PERSP,36.00,24.00
83,backlit,0083.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0083.png,2025-01-01T00:27:39.759036,48.587532,19.623980,1747.968506,0.885597,0.168672,-0.432612,0.010711,50.00,PERSP,36.00,24.00
84,backlit,0084.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0084.png,2025-01-01T00:28:00,48.787846,19.120491,1748.007935,0.885640,0.166432,-0.433480,0.006130,50.00,PERSP,36.00,24.00
85,backlit,0085.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0085.png,2025-01-01T00:28:20.240964,48.974461,18.626732,1748.041016,0.885679,0.164253,-0.434271,0.001631,50.00,PERSP,36.00,24.00
86,backlit,0086.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0086.png,2025-01-01T00:28:40.481928,49.159744,18.141661,1748.073242,0.885658,0.162095,-0.435119,-0.002721,50.00,PERSP,36.00,24.00
87,backlit,0087.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0087.png,2025-01-01T00:29:00.722892,49.328030,17.668407,1748.105103,0.885656,0.160015,-0.435843,-0.007011,50.00,PERSP,36.00,24.00
88,backlit,0088.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0088.png,2025-01-01T00:29:20.963855,49.487648,17.205172,1748.114258,0.885631,0.157981,-0.436548,-0.011187,50.00,PERSP,36.00,24.00
89,backlit,0089.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0089.png,2025-01-01T00:29:41.204819,49.648502,16.750954,1748.114990,0.885542,0.155963,-0.437332,-0.015202,50.00,PERSP,36.00,24.00
90,backlit,0090.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0090.png,2025-01-01T00:30:01.445783,49.793564,16.309694,1748.117554,0.885477,0.154026,-0.437995,-0.019151,50.00,PERSP,36.00,24.00
91,backlit,0091.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0091.png,2025-01-01T00:30:21.686747,49.931789,15.879400,1748.119629,0.885391,0.152137,-0.438644,-0.022980,50.00,PERSP,36.00,24.00
92,backlit,0092.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0092.png,2025-01-01T00:30:41.927711,50.066048,15.459359,1748.112915,0.885269,0.150283,-0.439321,-0.026670,50.00,PERSP,36.00,24.00
93,backlit,0093.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0093.png,2025-01-01T00:31:02.168675,50.190773,15.051564,1748.103271,0.885150,0.148494,-0.439934,-0.030263,50.00,PERSP,36.00,24.00
94,backlit,0094.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0094.png,2025-01-01T00:31:22.409639,50.305454,14.656491,1748.099854,0.885038,0.146772,-0.440485,-0.033761,50.00,PERSP,36.00,24.00
95,backlit,0095.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0095.png,2025-01-01T00:31:42.650602,50.414249,14.274139,1748.098511,0.884911,0.145102,-0.441020,-0.037138,50.00,PERSP,36.00,24.00
96,backlit,0096.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0096.png,2025-01-01T00:32:02.891566,50.518681,13.902895,1748.103271,0.884765,0.143477,-0.441559,-0.040386,50.00,PERSP,36.00,24.00
97,backlit,0097.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0097.png,2025-01-01T00:32:23.132530,50.614925,13.544466,1748.107666,0.884620,0.141914,-0.442055,-0.043527,50.00,PERSP,36.00,24.00
98,backlit,0098.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0098.png,2025-01-01T00:32:43.373494,50.711948,13.197003,1748.127197,0.884436,0.140378,-0.442609,-0.046511,50.00,PERSP,36.00,24.00
99,backlit,0099.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0099.png,2025-01-01T00:33:03.614458,50.796478,12.863733,1748.137085,0.884284,0.138930,-0.443055,-0.049421,50.00,PERSP,36.00,24.00
100,backlit,0100.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0100.png,2025-01-01T00:33:23.855422,50.878674,12.542804,1748.140869,0.884110,0.137521,-0.443523,-0.052191,50.00,PERSP,36.00,24.00
101,overexpose,0101.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0101.png,2025-01-01T00:33:44.096386,50.946671,12.237848,1748.145630,0.883986,0.136215,-0.443846,-0.054907,50.00,PERSP,36.00,24.00
102,overexpose,0102.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0102.png,2025-01-01T00:34:04.337349,51.018433,11.942623,1748.156006,0.883813,0.134923,-0.444263,-0.057447,50.00,PERSP,36.00,24.00
103,overexpose,0103.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0103.png,2025-01-01T00:34:24.578313,51.079071,11.663038,1748.180176,0.883675,0.133720,-0.444576,-0.059912,50.00,PERSP,36.00,24.00
104,overexpose,0104.png,D:\BaiduNetdiskDownload\fire\CubeSat - 1 RU Generic_VisibleBatch250\images\0104.png,2025-01-01T00:34:44.819277,51.141171,11.393969,1748.189453,0.883508,0.132547,-0.444943,-0.062223,50.00,PERSP,36.00,24.00
